Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,FCF,FCF FQ-1,FCF FQ-2,FCF FQ-3,FCF FQ-4,FCF FQ-5,FCF FQ-6,FCF FQ-7,FCF FQ-8,FCF FQ-9,FCF FQ-10,FCF FQ-11,FCF FQ-12
1726,HKE Holdings Limited,Industrials,Construction & Engineering,Capital Goods,179.2 M,2023,-12.484 M,-2.642 M,-3.287 M,-3.37 M,-507.667 K,-504.209 K,35.16 K,35.15 K,-305.878 K,-295.945 K,215.249 K,211.049 K,623.25 K
8021,WLS Holdings Limited,Industrials,Construction & Engineering,Capital Goods,128.1 M,2023,-2.354 M,NA,NA,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K
2221,New Concepts Holdings Limited,Industrials,Construction & Engineering,Capital Goods,120.7 M,2023,10.267 M,-3.196 M,8.346 M,8.385 M,-1.908 M,-1.913 M,0 K,0 K,2.895 M,2.895 M,4.363 M,4.234 M,5.133 M
1499,OKG Technology Holdings Limited,Industrials,Construction & Engineering,Capital Goods,242.9 M,2023,-20.69 M,-7.893 M,-2.459 M,-2.471 M,-1.558 M,-1.562 M,-50.747 K,-50.887 K,-384.837 K,-384.813 K,-3.535 M,-3.517 M,-805.913 K
1982,Nameson Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,153.9 M,2023,61.472 M,8.846 M,21.939 M,22.042 M,-16.057 M,-16.099 M,28.831 M,28.91 M,7.911 M,7.911 M,26.037 M,25.904 M,10.503 M
6819,IntelliCentrics Global Holdings Ltd.,Healthcare,Health Care Technology,Healthcare Equipment & Services,288.8 M,2023,-,NA,3.64 M,3.64 M,-1.782 M,-1.782 M,2.575 M,2.575 M,-1.686 M,-1.686 M,0 K,0 K,1.7 M
1797,East Buy Holding Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,4.319 B,2023,67.486 M,38.664 M,0 K,0 K,-69.451 M,-68.419 M,-44.657 M,-43.938 M,-35.186 M,-33.806 M,-36.052 M,-36.806 M,-6.165 M
6858,Honma Golf Limited,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,254.6 M,2023,34.833 M,11.053 M,8.387 M,8.87 M,16.183 M,16.214 M,5.447 M,5.841 M,10.31 M,10.072 M,-660.737 K,-653.769 K,-2.283 M
8395,Tree Holdings Limited,Consumer Discretionary,Distributors,Retailing,163.4 M,2023,438.277 K,NA,NA,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K
1283,Accel Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,129.4 M,2023,6.413 M,1.462 M,1.748 M,1.757 M,-2.07 M,-2.076 M,2.892 M,2.9 M,2.119 M,2.119 M,1.342 M,1.335 M,-245.736 K
2360,Best Mart 360 Holdings Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,284.1 M,2023,50.406 M,12.762 M,12.472 M,12.53 M,5.445 M,5.459 M,8.663 M,8.687 M,5.449 M,5.449 M,4.223 M,4.202 M,2.002 M
83,Sino Land Company Limited,Real Estate,Real Estate Management & Development,Real Estate,11.009 B,2023,519 M,115.6 M,142.5 M,142.7 M,267.9 M,268.3 M,128.6 M,128.5 M,11.793 M,11.797 M,24.594 M,24.587 M,350.5 M
1271,Grand Ming Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,1.082 B,2023,137.9 M,76.787 M,-7.832 M,-7.869 M,6.553 M,6.57 M,77.646 M,77.861 M,6.045 M,6.045 M,21.247 M,21.139 M,-16.566 M
1373,International Housewares Retail Company Limited,Consumer Discretionary,Specialty Retail,Retailing,258.6 M,2023,70.692 M,18.85 M,16.501 M,16.607 M,19.704 M,19.728 M,10.065 M,10.084 M,24.867 M,24.875 M,15 M,14.973 M,17.166 M
1830,Perfect Medical Health Management Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,646.7 M,2023,39.343 M,19.041 M,637.919 K,640.924 K,23.08 M,23.141 M,11.454 M,11.486 M,22.035 M,22.034 M,10.361 M,10.308 M,24.705 M
711,Asia Allied Infrastructure Holdings Limited,Industrials,Construction & Engineering,Capital Goods,118.2 M,2023,-41.83 M,-10.894 M,-10.045 M,-10.093 M,148.689 K,149.079 K,2.932 M,2.94 M,5.593 M,5.593 M,-18.495 M,-18.401 M,-40.413 M
178,Sa Sa International Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,699.7 M,2023,29.662 M,7.742 M,7.107 M,7.14 M,-2.972 M,-2.98 M,14.185 M,14.225 M,18.041 M,18.04 M,30.53 M,30.374 M,4.035 M
938,Man Sang International Limited,Real Estate,Real Estate Management & Development,Real Estate,137.7 M,2023,-7.728 M,-1.094 M,-2.776 M,-2.79 M,-3.462 M,-3.471 M,-5.259 M,-5.273 M,-2.17 M,-2.17 M,355.813 K,353.999 K,-3.467 M
129,Asia Standard International Group Limited,Real Estate,Real Estate Management & Development,Real Estate,107.6 M,2023,-6.751 M,-15.941 M,12.586 M,12.646 M,-81.019 M,-81.231 M,74.859 M,75.066 M,52.057 M,52.053 M,-67.828 M,-67.482 M,68.607 M
160,"Hon Kwok Land Investment Company, Limited",Real Estate,Real Estate Management & Development,Real Estate,194.6 M,2023,34.185 M,5.851 M,11.267 M,11.32 M,14.039 M,14.076 M,10.31 M,10.338 M,4.694 M,4.694 M,5.196 M,5.169 M,12.678 M
985,CST Group Limited,Financials,Capital Markets,Diversified Financials,107.8 M,2023,112.8 M,31.403 M,25.003 M,25.003 M,-2.891 M,-2.891 M,19.495 M,19.495 M,-16.816 M,-16.816 M,-43.828 M,-43.828 M,-410.5 K
1140,Wealthking Investments Limited,Financials,Capital Markets,Diversified Financials,495.9 M,2023,15.644 M,-5.133 M,12.98 M,13.042 M,-15.004 M,-15.044 M,36.147 K,36.246 K,-3.524 M,-3.524 M,-3.285 M,-3.269 M,-3.945 M
900,AEON Credit Service (Asia) Company Limited,Financials,Consumer Finance,Diversified Financials,270.5 M,2023,-92.844 M,-35.827 M,-7.559 M,-3.699 M,-6.934 M,5.076 M,11.204 M,18.658 M,24.319 M,47.512 M,45.655 M,28.672 M,26 M
1709,DL Holdings Group Limited,Financials,Capital Markets,Diversified Financials,495.2 M,2023,14.083 M,-2.234 M,9.294 M,9.338 M,-2.547 M,-2.553 M,734.958 K,736.99 K,2.38 M,2.379 M,499.506 K,496.959 K,-993.979 K
411,Lam Soon (Hong Kong) Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",294.5 M,2023,2.258 M,-3.115 M,4.24 M,4.247 M,6.11 M,6.119 M,-556.455 K,-555.769 K,6.395 M,6.397 M,10.623 M,10.62 M,8.524 M
384,China Gas Holdings Limited,Utilities,Gas Utilities,Utilities,7.346 B,2023,211.2 M,301.8 M,-196.5 M,-197.4 M,266.1 M,266.8 M,-433.3 M,-434.5 M,444.4 M,444.4 M,-293 M,-291.5 M,257.3 M
149,China Agri-Products Exchange Limited,Real Estate,Real Estate Management & Development,Real Estate,105.2 M,2023,12.453 M,-2.899 M,9.144 M,9.187 M,-71.101 K,-71.288 K,6.805 M,6.824 M,13.08 M,13.079 M,0 K,0 K,0 K
16,Sun Hung Kai Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,39.573 B,2023,1.985 B,503 M,484 M,484.9 M,257.5 M,257.9 M,-218 M,-217.8 M,1.029 B,1.03 B,1.225 B,1.225 B,1.58 B
398,Oriental Watch Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,265.7 M,2023,74.546 M,15.29 M,22.035 M,22.138 M,20.208 M,20.261 M,23.007 M,23.07 M,16.504 M,16.503 M,119.83 K,119.219 K,16.807 M
3306,JNBY Design Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,589.2 M,2023,49.928 M,22.566 M,1.735 M,1.833 M,54.696 M,53.901 M,12.914 M,12.726 M,80.095 M,77.001 M,-1.312 M,-1.309 M,40.94 M
1050,Karrie International Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,242 M,2023,7.642 M,8.064 M,19.142 M,19.232 M,23.192 M,23.253 M,32.548 M,32.638 M,-916.448 K,-916.39 K,-8.221 M,-8.179 M,3.846 M
1660,Zhaobangji Properties Holdings Limited,Industrials,Trading Companies & Distributors,Capital Goods,236.8 M,2023,-3.539 M,5.755 M,-6.786 M,-6.818 M,1.14 M,1.143 M,-6.092 M,-6.109 M,8.949 M,8.949 M,1.646 M,1.638 M,-2.682 M
237,"Safety Godown Company, Limited",Real Estate,Real Estate Management & Development,Real Estate,117.6 M,2023,31.184 M,10.667 M,4.939 M,4.963 M,8.873 M,8.897 M,4.846 M,4.859 M,-13.176 M,-13.175 M,5.645 M,5.616 M,916.278 K
8365,Hatcher Group Limited,Financials,Capital Markets,Diversified Financials,140.2 M,2023,-677.977 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K
558,L.K. Technology Holdings Limited,Industrials,Machinery,Capital Goods,1.68 B,2023,-96.208 M,-19.996 M,-28.174 M,-28.307 M,2.909 M,2.916 M,17.347 M,17.395 M,14.161 M,14.16 M,8.134 M,8.092 M,-3.05 M
35,Far East Consortium International Limited,Real Estate,Real Estate Management & Development,Real Estate,665.3 M,2023,-241.9 M,-77.708 M,-43.351 M,-43.555 M,-56.685 M,-56.834 M,70.571 M,70.766 M,25.632 M,25.631 M,39.252 M,39.052 M,-144.9 M
29,Dynamic Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,301.9 M,2023,-,NA,-742.776 K,-744.069 K,796.698 K,797.908 K,1.04 M,1.039 M,1.726 M,1.727 M,870.974 K,870.733 K,1.075 M
241,Alibaba Health Information Technology Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,10.981 B,2023,44.669 M,37.26 M,-14.312 M,-14.28 M,45.817 M,45.758 M,32.614 M,32.737 M,41.601 M,39.979 M,7.291 M,7.417 M,33.078 M
1125,Lai Fung Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,111.8 M,2023,-,NA,-11.19 M,-11.194 M,37.39 M,37.469 M,49.738 M,49.759 M,56.383 M,56.388 M,8.699 M,8.697 M,-19.243 M
659,NWS Holdings Limited,Industrials,Industrial Conglomerates,Capital Goods,3.402 B,2023,286.2 M,20.81 M,121.5 M,121.8 M,143.5 M,143.7 M,-4.012 M,-4.007 M,-23.599 M,-23.606 M,342.4 M,342.3 M,-403.3 M
247,Tsim Sha Tsui Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,5.729 B,2023,-,NA,143.5 M,143.8 M,269.8 M,0 K,129 M,128.8 M,13.543 M,13.547 M,25.481 M,25.474 M,352.7 M
855,China Water Affairs Group Limited,Utilities,Water Utilities,Utilities,1.358 B,2023,392.5 M,82.381 M,114.1 M,114.7 M,108.2 M,108.4 M,59.902 M,60.067 M,74.667 M,74.662 M,104.7 M,104.2 M,97.619 M
202,EverChina Int'l Holdings Company Limited,Real Estate,Real Estate Management & Development,Real Estate,161.7 M,2023,6.652 M,926.288 K,3.795 M,3.812 M,3.528 M,3.537 M,3.241 M,3.25 M,-866.835 K,-866.781 K,-22.042 M,-21.93 M,22.232 M
1060,Alibaba Pictures Group Limited,Communication Services,Entertainment,Media,1.718 B,2023,30.014 M,12.478 M,3.653 M,3.645 M,-43.367 M,-43.311 M,26.911 M,27.012 M,-8.099 M,-7.784 M,-7.754 M,-7.887 M,-47.376 M
989,Hua Yin International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,385.4 M,2023,-15.695 M,-1.592 M,-7.123 M,-7.107 M,-510.25 K,-509.594 K,4.065 M,4.08 M,-15.177 M,-14.585 M,0 K,0 K,345.773 K
105,Associated International Hotels Limited,Real Estate,Real Estate Management & Development,Real Estate,429.7 M,2023,18.96 M,4.872 M,4.619 M,4.641 M,7.371 M,7.391 M,3.299 M,3.308 M,6.172 M,6.172 M,6.016 M,5.986 M,13.461 M
191,Lai Sun Garment (International) Limited,Real Estate,Real Estate Management & Development,Real Estate,172.2 M,2023,-,NA,-119.1 M,-119.2 M,-157.5 M,-157.8 M,48.286 M,48.307 M,29.053 M,29.055 M,14.542 M,14.538 M,-32.207 M
64,Get Nice Holdings Limited,Financials,Capital Markets,Diversified Financials,184.6 M,2023,38.887 M,9.889 M,9.578 M,9.623 M,57.106 M,57.256 M,43.62 M,43.741 M,-15.302 M,-15.301 M,51.564 M,51.301 M,-2.03 M
480,HKR International Limited,Real Estate,Real Estate Management & Development,Real Estate,490.1 M,2023,-138.5 M,-24.57 M,0 K,0 K,-304.2 M,-305 M,-15.526 M,-15.569 M,59.664 M,59.661 M,-37.6 M,-37.408 M,52.324 M
6808,Sun Art Retail Group Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,3.002 B,2023,498.4 M,233.4 M,33.041 M,32.966 M,244.9 M,244.5 M,0 K,0 K,389 M,373.9 M,0 K,0 K,350.7 M
2322,Hong Kong ChaoShang Group Limited,Industrials,Trading Companies & Distributors,Capital Goods,383.2 M,2023,-10.879 M,-3.542 M,-1.903 M,-1.912 M,-570.54 K,-572.039 K,-251.096 K,-251.79 K,2.211 M,2.21 M,0 K,0 K,2.032 M
18,Oriental Enterprise Holdings Limited,Communication Services,Media,Media,183.3 M,2023,21.603 M,4.427 M,6.389 M,6.419 M,7.599 M,7.619 M,3.543 M,3.553 M,2.795 M,2.795 M,-3.142 M,-3.126 M,10.318 M
199,ITC Properties Group Limited,Real Estate,Real Estate Management & Development,Real Estate,122.1 M,2023,-41.635 M,-9.362 M,-11.483 M,-11.537 M,7.805 M,7.825 M,7.891 M,7.913 M,-10.988 M,-10.987 M,-7.818 M,-7.778 M,-16.696 M
931,China LNG Group Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,269.6 M,2023,-14.987 M,2.299 M,-9.812 M,-9.859 M,882.625 K,884.944 K,-5.424 M,-5.439 M,2.259 M,2.259 M,4.967 M,4.942 M,-6.573 M
163,Emperor International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,313.9 M,2023,58.014 M,3.235 M,25.827 M,25.948 M,45.707 M,45.827 M,12.476 M,12.511 M,8.627 M,8.626 M,34.429 M,34.253 M,-26.321 M
8299,Grand T G Gold Holdings Limited,Materials,Metals & Mining,Materials,103 M,2023,4.721 M,NA,NA,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K
52,Fairwood Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,191.4 M,2023,66.838 M,23.356 M,10.092 M,10.14 M,20.988 M,21.043 M,25.199 M,25.269 M,18.008 M,18.007 M,14.947 M,14.871 M,18.139 M
2033,Time Watch Investments Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,108.8 M,2023,-,NA,-2.16 M,-2.163 M,7.658 M,7.67 M,-1.228 M,-1.226 M,19.611 M,19.617 M,5.186 M,0 K,8.177 M
474,Aceso Life Science Group Limited,Financials,Consumer Finance,Diversified Financials,167.4 M,2023,36.18 M,8.921 M,9.192 M,9.235 M,7.386 M,7.406 M,18.974 M,19.026 M,-8.452 M,-8.451 M,-20.961 M,-20.854 M,-4.274 M
2689,Nine Dragons Paper (Holdings) Limited,Materials,Paper & Forest Products,Materials,3.652 B,2023,-2.172 B,-565.9 M,-516.7 M,-546 M,-209.8 M,-206.7 M,-343.3 M,-338.3 M,68.193 M,65.558 M,20.77 M,20.72 M,277.3 M
25,Chevalier International Holdings Limited,Industrials,Industrial Conglomerates,Capital Goods,271.2 M,2023,-48.637 M,-28.314 M,3.994 M,4.013 M,-1.285 M,-1.289 M,8.738 M,8.762 M,-1.322 M,-1.322 M,13.044 M,12.978 M,-3.126 M
53,Guoco Group Limited,Industrials,Industrial Conglomerates,Capital Goods,2.85 B,2023,957.3 M,371.2 M,107.4 M,107.4 M,97.287 M,97.287 M,97.41 M,97.41 M,121.3 M,121.3 M,104.9 M,104.9 M,-171.9 M
677,Golden Resources Development International Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,278.9 M,2023,19.888 M,12.086 M,-2.142 M,-2.152 M,8.46 M,8.482 M,4.807 M,4.82 M,12.144 M,12.143 M,2.72 M,2.706 M,6.312 M
1104,APAC Resources Limited,Industrials,Trading Companies & Distributors,Capital Goods,177.5 M,2023,6.169 M,-5.287 M,8.357 M,8.372 M,-4.69 M,-4.697 M,-5.959 M,-5.951 M,2.341 M,2.342 M,-2.081 M,-2.081 M,-3.536 M
186,Nimble Holdings Company Limited,Consumer Discretionary,Distributors,Retailing,188.9 M,2023,176.2 M,31.095 M,0 K,0 K,-68.146 M,-68.325 M,0 K,0 K,-37.548 M,-37.546 M,1.87 M,1.925 M,-829.326 K
159,Brockman Mining Limited,Materials,Metals & Mining,Materials,189.2 M,2023,-2.457 M,-676.78 K,-545.119 K,-546.068 K,-748.343 K,-749.48 K,-554.201 K,-553.518 K,-725.832 K,-726.062 K,-445.26 K,-445.138 K,-797.381 K
315,SmarTone Telecommunications Holdings Limited,Communication Services,Wireless Telecommunication Services,Telecommunication Services,694.9 M,2023,-,NA,40.821 M,40.892 M,43.856 M,43.922 M,58.805 M,58.733 M,42.358 M,42.371 M,66.06 M,66.042 M,29.042 M
147,International Business Settlement Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,181.2 M,2023,-37.709 M,-16.398 M,-2.467 M,-2.479 M,-4.017 M,-4.028 M,-1.716 M,-1.721 M,-4.887 M,-4.887 M,0 K,0 K,-30.625 M
57,Chen Hsong Holdings Limited,Industrials,Machinery,Capital Goods,147 M,2023,-12.465 M,3.547 M,-9.799 M,-9.845 M,-16.229 M,-16.271 M,2.866 M,2.874 M,8.81 M,8.81 M,507.761 K,505.172 K,8.642 M
26,"China Motor Bus Company, Limited",Real Estate,Real Estate Management & Development,Real Estate,441.5 M,2023,2.71 M,594.42 K,753.418 K,754.729 K,939.581 K,941.009 K,2.908 M,2.905 M,1.309 M,1.309 M,1.437 M,1.436 M,709.089 K
367,Chuang's Consortium International Limited,Real Estate,Real Estate Management & Development,Real Estate,138.5 M,2023,86.822 M,25.708 M,0 K,0 K,12.252 M,12.284 M,-31.486 M,-31.573 M,-30.101 M,-30.099 M,-19.536 M,-19.436 M,-15.549 M
331,FSE Lifestyle Services Limited,Industrials,Construction & Engineering,Capital Goods,344 M,2023,-,NA,16.459 M,16.487 M,9.081 M,0 K,4.081 M,4.075 M,29.897 M,29.906 M,24.126 M,24.119 M,2.605 M
345,Vitasoy International Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",2.062 B,2023,8.898 M,25.062 M,-20.647 M,-20.744 M,2.463 M,2.47 M,16.431 M,0 K,22.885 M,0 K,-6.077 M,-6.046 M,17.583 M
6889,"DYNAM JAPAN HOLDINGS Co., Ltd.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,479.5 M,2023,36.82 M,8.833 M,12.044 M,12.737 M,-59.091 M,-59.202 M,70.451 M,75.549 M,57.126 M,55.808 M,-15.723 M,0 K,42.182 M
279,Arta TechFin Corporation Limited,Financials,Capital Markets,Diversified Financials,275 M,2023,-10.182 M,-2.915 M,-2.181 M,-2.191 M,9.207 M,9.232 M,8.017 M,8.04 M,-19.288 M,-19.287 M,-2.361 M,-2.349 M,-2.38 M
2199,Regina Miracle International (Holdings) Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,461.6 M,2023,155.1 M,46.801 M,30.835 M,30.98 M,3.335 M,3.344 M,2.643 M,2.65 M,-14.366 M,-14.365 M,-6.332 M,-6.299 M,1.879 M
1243,Wang On Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,110.4 M,2023,-233.9 M,3.558 M,-120.8 M,-121.3 M,-73.504 M,-73.697 M,-30.835 M,-30.92 M,-59.373 M,-59.369 M,-8.717 M,-8.673 M,-8.162 M
1469,Get Nice Financial Group Limited,Financials,Capital Markets,Diversified Financials,207 M,2023,39.918 M,12.178 M,7.802 M,7.839 M,51.65 M,51.786 M,37.814 M,37.919 M,-24.899 M,-24.898 M,36.589 M,36.402 M,-17.921 M
1341,Hao Tian International Construction Investment Group Limited,Industrials,Trading Companies & Distributors,Capital Goods,231.2 M,2023,23.568 M,5.034 M,6.766 M,6.798 M,14.837 M,14.876 M,10.677 M,10.706 M,-4.452 M,-4.451 M,0 K,0 K,-4.274 M
2633,Jacobson Pharma Corporation Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",218.2 M,2023,46.364 M,18.741 M,4.457 M,4.478 M,17.55 M,17.596 M,0 K,0 K,12.404 M,12.403 M,0 K,0 K,13.556 M
2708,IBO Technology Company Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,119 M,2023,-1.896 M,-18.186 M,18.154 M,18.113 M,-12.322 M,-12.306 M,13.962 M,14.014 M,-5.763 M,-5.539 M,-326.862 K,-332.476 K,-1.774 M
303,Vtech Holdings Limited,Information Technology,Communications Equipment,Technology Hardware & Equipment,1.503 B,2023,213 M,-6.15 M,112.6 M,112.6 M,-60.8 M,-60.8 M,126.6 M,126.6 M,-10.45 M,-10.45 M,95.45 M,95.45 M,5.75 M
224,Pioneer Global Group Limited,Real Estate,Real Estate Management & Development,Real Estate,148.5 M,2023,18.964 M,5.217 M,4.276 M,4.296 M,6.362 M,6.379 M,5.317 M,5.332 M,5.815 M,5.815 M,5.602 M,5.574 M,6.909 M
306,Kwoon Chung Bus Holdings Limited,Industrials,Road & Rail,Transportation,139.1 M,2023,20.738 M,3.161 M,7.224 M,7.258 M,2.594 M,2.601 M,2.755 M,2.763 M,8.053 M,8.052 M,10.354 M,10.301 M,5.902 M
88,Tai Cheung Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,324.9 M,2023,-26.765 M,-6.767 M,-6.632 M,-6.663 M,-430.33 K,-431.46 K,19.295 K,19.349 K,-88.864 M,-88.859 M,-3.754 M,-3.734 M,-4.612 M
1468,Kingkey Financial International (Holdings) Limited,Financials,Capital Markets,Diversified Financials,1.554 B,2023,11.836 M,4.55 M,1.372 M,1.378 M,-15.046 M,-15.086 M,-4.083 M,-4.094 M,740.126 K,740.079 K,-6.809 M,-6.774 M,3.29 M
1023,Sitoy Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,107.6 M,2023,25.248 M,10.034 M,2.52 M,2.524 M,-5.291 M,-5.299 M,5.043 M,5.037 M,1.374 M,1.375 M,1.861 M,1.86 M,9.546 M
973,L'Occitane International S.A.,Consumer Staples,Personal Products,Household & Personal Products,3.595 B,2023,291.8 M,2.863 M,161.7 M,166.4 M,1.147 M,1.175 M,174 M,181.3 M,64.534 M,61.843 M,126.2 M,128.5 M,46.136 M
8053,Pizu Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,144.8 M,2023,31.777 M,NA,NA,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K
213,National Electronics Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,111.3 M,2023,-34.344 M,-7.262 M,-9.933 M,-9.98 M,-16.892 M,-16.936 M,49.804 M,49.942 M,-9.509 M,-9.509 M,-27.217 M,-27.078 M,1.27 M
1428,Bright Smart Securities & Commodities Group Limited,Financials,Capital Markets,Diversified Financials,296.2 M,2023,446.3 M,73.156 M,150.3 M,151.1 M,278.8 M,279.5 M,882.7 M,885.2 M,-1.386 B,-1.386 B,112.3 M,111.7 M,32.355 M
391,Mei Ah Entertainment Group Limited,Communication Services,Entertainment,Media,200 M,2023,3.118 M,970.255 K,590.302 K,593.082 K,-908.445 K,-910.832 K,1.437 M,1.441 M,-620.578 K,-620.539 K,-1.02 M,-1.015 M,2.435 M
992,Lenovo Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,13.581 B,2023,2.842 B,1.782 B,172.5 M,1.123 B,345.8 M,1.365 B,244.5 M,365.5 M,1.789 B,607.5 M,193.5 M,251.2 M,362.6 M
1686,SUNeVision Holdings Ltd.,Information Technology,IT Services,Software & Services,2.363 B,2023,-78.367 M,-14.831 M,-63.56 M,-63.671 M,-2.333 M,-2.337 M,-72.57 M,-72.48 M,37.061 M,37.073 M,0 K,0 K,41.725 M
259,Yeebo (International Holdings) Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,362.6 M,2023,10.27 M,4.34 M,798.197 K,801.956 K,-2.147 M,-2.153 M,-3.875 M,-3.886 M,1.209 M,1.209 M,549.166 K,546.366 K,3.001 M
1989,Pine Care Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,103.5 M,2023,-,-55.5 K,0 K,0 K,1.793 M,1.797 M,1.674 M,1.679 M,1.945 M,1.945 M,632.428 K,629.204 K,202.419 K
321,Texwinca Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,246.4 M,2023,50.093 M,16.083 M,20.414 M,20.51 M,30.189 M,30.269 M,1.648 M,1.652 M,31.522 M,31.52 M,5.777 M,5.748 M,27.36 M
113,Dickson Concepts (International) Limited,Consumer Discretionary,Specialty Retail,Retailing,201.9 M,2023,79.775 M,10.324 M,0 K,0 K,17.89 M,17.937 M,9.52 M,0 K,27.022 M,0 K,-3.503 M,-3.485 M,52.76 M
335,Upbest Group Limited,Financials,Consumer Finance,Diversified Financials,205 M,2023,2.541 M,4.472 M,-3.207 M,-3.222 M,4.153 M,4.163 M,-683.569 K,-685.458 K,10.277 M,10.277 M,2.814 M,2.8 M,-11.794 M
179,Johnson Electric Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,1.056 B,2023,-2.893 M,37.205 M,-38.651 M,-38.651 M,-27.774 M,-27.774 M,50.695 M,50.695 M,34.711 M,34.711 M,85.385 M,85.385 M,46.47 M
3998,Bosideng International Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,5.975 B,2023,223.9 M,-142.2 M,275.9 M,275.3 M,-109 M,-108.9 M,277.1 M,278.2 M,-68.849 M,-66.165 M,259.8 M,264.3 M,-221.7 M
151,Want Want China Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",7.75 B,2023,473.8 M,122.5 M,136.3 M,136 M,136.3 M,136.2 M,220.9 M,221.7 M,162.3 M,156 M,194.5 M,197.8 M,125.9 M
1082,Bradaverse Education (Int'l) Investments Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,129.2 M,2023,-,NA,-369.19 K,-369.832 K,-761.874 K,-763.032 K,1.471 M,1.469 M,-1.546 M,-1.547 M,-114.702 K,-114.67 K,-1.268 M
303,Vtech Holdings Limited,Information Technology,Communications Equipment,Technology Hardware & Equipment,1.503 B,2023,213 M,-6.15 M,112.6 M,112.6 M,-60.8 M,-60.8 M,126.6 M,126.6 M,-10.45 M,-10.45 M,95.45 M,95.45 M,5.75 M
224,Pioneer Global Group Limited,Real Estate,Real Estate Management & Development,Real Estate,148.5 M,2023,18.964 M,5.217 M,4.276 M,4.296 M,6.362 M,6.379 M,5.317 M,5.332 M,5.815 M,5.815 M,5.602 M,5.574 M,6.909 M
16,Sun Hung Kai Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,39.573 B,2023,1.985 B,503 M,484 M,484.9 M,257.5 M,257.9 M,-218 M,-217.8 M,1.029 B,1.03 B,1.225 B,1.225 B,1.58 B
1660,Zhaobangji Properties Holdings Limited,Industrials,Trading Companies & Distributors,Capital Goods,236.8 M,2023,-3.539 M,5.755 M,-6.786 M,-6.818 M,1.14 M,1.143 M,-6.092 M,-6.109 M,8.949 M,8.949 M,1.646 M,1.638 M,-2.682 M
