Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Revenue,Revenue FQ-1,Revenue FQ-2,Revenue FQ-3,Revenue FQ-4,Revenue FQ-5,Revenue FQ-6,Revenue FQ-7,Revenue FQ-8,Revenue FQ-9,Revenue FQ-10,Revenue FQ-11,Revenue FQ-12
2207,"Ronshine Service Holding Co., Ltd",Real Estate,Real Estate Management & Development,Real Estate,271.9 M,2022,139.7 M,34.243 M,39.505 M,38.93 M,37.852 M,37.301 M,33.091 M,31.813 M,22.532 M,22.478 M,-,-,-
2187,Zhixin Group Holding Limited,Materials,Construction Materials,Materials,414.5 M,2022,112.1 M,24.183 M,34.964 M,34.456 M,24.832 M,24.471 M,38.434 M,36.949 M,20.036 M,19.988 M,-,-,-
2142,HBM Holdings Limited,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",208.2 M,2022,29.726 M,13.815 M,1.048 M,1.048 M,1.106 M,1.106 M,4.019 M,4.019 M,3.035 M,3.035 M,2.432 M,2.432 M,278 K
2148,"Vesync Co., Ltd",Consumer Discretionary,Household Durables,Consumer Durables & Apparel,505.2 M,2022,478.3 M,111.6 M,127.5 M,127.5 M,99.645 M,99.645 M,109.8 M,109.8 M,64.627 M,64.627 M,48.334 M,48.334 M,37.625 M
1795,Yadong Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,203.3 M,2022,136.4 M,40.179 M,31.81 M,31.347 M,31.71 M,31.248 M,34.47 M,33.139 M,22.747 M,22.692 M,-,-,-
846,Mingfa Group (International) Company Limited,Real Estate,Real Estate Management & Development,Real Estate,291.1 M,2022,1.893 B,469.8 M,529.4 M,521.7 M,750.2 M,739.3 M,395.7 M,380.5 M,544.3 M,543 M,613.4 M,597.7 M,299.9 M
9600,Newlink Technology Inc.,Information Technology,IT Services,Software & Services,198.4 M,2022,37.968 M,9.151 M,10.885 M,10.727 M,5.219 M,5.143 M,8.992 M,8.644 M,4.158 M,4.148 M,6.665 M,6.494 M,4.089 M
1855,ZONBONG LANDSCAPE Environmental Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,316 M,2022,113.7 M,17.925 M,42.067 M,41.455 M,28.037 M,27.629 M,49.292 M,47.388 M,25.326 M,25.265 M,43.278 M,42.167 M,21.467 M
6968,Ganglong China Property Group Limited,Real Estate,Real Estate Management & Development,Real Estate,107.4 M,2022,1.64 B,432 M,433.5 M,427.2 M,376.2 M,370.8 M,188.3 M,181 M,121.2 M,120.9 M,99.636 M,97.079 M,42.999 M
6928,TOMO Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,165.7 M,2022,7.224 M,1.585 M,2.129 M,2.114 M,1.475 M,1.475 M,1.357 M,1.313 M,933.34 K,915.13 K,3.32 M,2.849 M,2.886 M
672,Zhong An Group Limited,Real Estate,Real Estate Management & Development,Real Estate,167.3 M,2022,1.341 B,293.3 M,378.9 M,400.4 M,235 M,231.6 M,153.5 M,151.3 M,486.1 M,467.3 M,77.335 M,77.15 M,200.1 M
6908,HG Semiconductor Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,131.1 M,2022,14.07 M,3.425 M,4 M,3.942 M,5.831 M,5.746 M,6.064 M,5.83 M,3.031 M,3.023 M,10.505 M,11.258 M,7.945 M
1691,JS Global Lifestyle Company Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,3.46 B,2022,5.143 B,1.116 B,1.456 B,1.456 B,1.12 B,1.12 B,1.341 B,1.341 B,757.3 M,757.3 M,890.1 M,890.1 M,617.9 M
1692,Town Ray Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,146.3 M,2022,105.5 M,25.897 M,26.577 M,26.623 M,29.695 M,29.741 M,19.322 M,19.298 M,20.503 M,20.51 M,14.437 M,14.433 M,17.163 M
3991,Changhong Jiahua Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,193.2 M,2022,5.12 B,1.143 B,1.428 B,1.43 B,1.435 B,1.433 B,1.481 B,1.481 B,1.124 B,1.124 B,1.325 B,849.3 M,818.8 M
1463,C-Link Squared Limited,Industrials,Professional Services,Commercial & Professional Services,431.1 M,2022,28.545 M,7.044 M,7.986 M,7.953 M,5.46 M,5.473 M,4.849 M,4.693 M,4.399 M,4.369 M,4.217 M,4.103 M,4.485 M
9908,"JiaXing Gas Group Co., Ltd.",Utilities,Gas Utilities,Utilities,174.5 M,2022,357.5 M,102.9 M,85.811 M,84.563 M,69.528 M,68.515 M,54.809 M,52.692 M,39.498 M,39.403 M,49.057 M,47.798 M,47.124 M
9986,Dashan Education Holdings Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,318 M,2022,21.881 M,778.633 K,10.758 M,10.601 M,16.737 M,16.493 M,17.062 M,16.403 M,7.804 M,7.786 M,15.048 M,14.662 M,12.676 M
2096,Simcere Pharmaceutical Group Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",2.942 B,2022,832.7 M,212.9 M,226.6 M,223.3 M,164.2 M,161.8 M,197.9 M,190.2 M,136.3 M,135.9 M,188.3 M,183.5 M,175.8 M
1332,Touyun Biotech Group Limited,Materials,Containers & Packaging,Materials,246.6 M,2022,39.893 M,10.614 M,9.411 M,9.425 M,8.807 M,8.796 M,7.444 M,7.447 M,5.894 M,5.892 M,10.334 M,10.274 M,11.627 M
1400,Moody Technology Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,162.3 M,2022,6.018 M,2.4 M,778.206 K,766.887 K,11.278 M,11.114 M,1.468 M,1.412 M,13.268 M,13.236 M,22.643 M,22.062 M,14.734 M
1745,Lvji Technology Holdings Inc.,Information Technology,Software,Software & Services,127.2 M,2022,49.924 M,13.886 M,10.951 M,11.572 M,16.253 M,16.017 M,13.562 M,13.364 M,16.449 M,15.813 M,5.683 M,5.669 M,25.769 M
1442,Infinity Logistics and Transport Ventures Limited,Industrials,Air Freight & Logistics,Transportation,297.1 M,2022,74.264 M,21.37 M,17.705 M,17.632 M,15.413 M,15.449 M,14.966 M,14.487 M,12.045 M,11.965 M,13.527 M,13.22 M,11.938 M
9906,Honliv Healthcare Management Group Company Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,183.4 M,2022,103.8 M,29.551 M,25.211 M,24.844 M,22.177 M,21.855 M,21.4 M,20.573 M,17.313 M,17.272 M,18.669 M,18.189 M,19.743 M
1821,ESR Group Limited,Real Estate,Real Estate Management & Development,Real Estate,7.664 B,2022,1.048 B,235.6 M,288.4 M,288.4 M,145 M,145 M,141.3 M,141.3 M,126 M,126 M,120.7 M,120.7 M,138.3 M
1921,Dalipal Holdings Limited,Energy,Energy Equipment & Services,Energy,421.9 M,2022,613 M,160.8 M,144.8 M,153 M,177.6 M,175 M,116.6 M,114.9 M,97.273 M,93.516 M,70.019 M,69.851 M,99.238 M
2459,Sanergy Group Limited,Industrials,Electrical Equipment,Capital Goods,222.9 M,2022,126.6 M,29.853 M,33.454 M,33.454 M,20.893 M,20.893 M,-,-,-,-,-,-,-
1370_OLD,Aowei Holding Limited,Materials,Metals & Mining,Materials,160.4 M,2022,167.6 M,42.359 M,46.094 M,45.424 M,46.916 M,46.233 M,26.135 M,25.125 M,16.048 M,16.01 M,27.642 M,26.932 M,31.355 M
1370,Aowei Holding Limited,Materials,Metals & Mining,Materials,160.4 M,2022,167.6 M,42.359 M,46.094 M,45.424 M,46.916 M,46.233 M,26.135 M,25.125 M,16.048 M,16.01 M,27.642 M,26.932 M,31.355 M
2237,China Graphite Group Limited,Materials,Metals & Mining,Materials,262.9 M,2022,39.669 M,12.653 M,6.981 M,7.377 M,9.115 M,8.982 M,6.389 M,6.296 M,-,-,-,-,-
2425,AustAsia Group Ltd.,Consumer Staples,Food Products,"Food, Beverage & Tobacco",312.3 M,2022,562.8 M,142.2 M,139.1 M,139.1 M,140.4 M,140.4 M,120.6 M,120.6 M,-,-,-,-,-
2482,"Logory Logistics Technology Co., Ltd.",Industrials,Road & Rail,Transportation,493.6 M,2022,889.9 M,-,-,255 M,-,-,-,-,-,-,-,-,-
2257,Sirnaomics Ltd.,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",627.2 M,2022,-,-,-14 K,-,-,-,-121 K,-,-,-,-,-,-
2285,Chervon Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,2.243 B,2022,1.891 B,501 M,444.5 M,444.5 M,434.4 M,434.4 M,343.3 M,343.3 M,257.2 M,257.2 M,-,-,-
2276,"Shanghai Conant Optical Co., Ltd.",Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,256.5 M,2022,226.4 M,57.254 M,55.716 M,58.876 M,55.714 M,54.903 M,50.174 M,49.444 M,-,-,-,-,-
2216,Broncus Holding Corporation,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,104.7 M,2022,11.256 M,1.609 M,4.019 M,4.019 M,1.427 M,1.427 M,1.213 M,1.213 M,416.5 K,416.5 K,-,-,-
6610,Flowing Cloud Technology Ltd,Communication Services,Media,Media,650.2 M,2022,154.6 M,-,-,36.096 M,-,-,-,21.175 M,-,-,-,-,-
2306,YH Entertainment Group,Communication Services,Entertainment,Media,513.1 M,2022,142.1 M,-,-,-,62.206 M,-,-,-,-,-,-,-,-
1440,Deyun Holding Ltd.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,215.1 M,2022,24.368 M,6.339 M,6.521 M,6.426 M,6.432 M,6.338 M,7.919 M,7.613 M,6.729 M,6.713 M,6.838 M,6.662 M,7.88 M
2146,"Roiserv Lifestyle Services Co., Ltd.",Real Estate,Real Estate Management & Development,Real Estate,100.6 M,2022,337 M,83.87 M,93.954 M,92.587 M,99.953 M,98.498 M,80.88 M,77.755 M,54.13 M,54 M,52.09 M,50.753 M,40.532 M
2558,"Jinshang Bank Co., Ltd.",Financials,Banks,Banks,914.9 M,2022,575.1 M,144.7 M,158.8 M,156.5 M,133.1 M,131.2 M,143.1 M,137.6 M,109.5 M,109.2 M,132.9 M,129.4 M,114.6 M
1966,China SCE Group Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,425 M,2022,4.886 B,1.213 B,1.365 B,1.345 B,1.579 B,1.556 B,1.336 B,1.284 B,1.071 B,1.068 B,786.1 M,765.9 M,758.9 M
1563,Alliance International Education Leasing Holdings Limited,Financials,Diversified Financial Services,Diversified Financials,1.053 B,2022,42.493 M,14.706 M,6.255 M,6.61 M,6.884 M,6.784 M,6.755 M,6.657 M,5.997 M,5.765 M,-2.546 M,-2.54 M,3.531 M
1907,China Risun Group Limited,Materials,Chemicals,Materials,2.08 B,2022,6.322 B,1.777 B,1.607 B,1.584 B,1.44 B,1.419 B,892.5 M,858 M,575.5 M,574.2 M,626 M,610 M,737.2 M
680,Nan Hai Corporation Limited,Communication Services,Entertainment,Media,306.1 M,-,-,-,-,-,-,-,262.2 M,261.9 M,252.6 M,252.6 M,393.2 M,393.1 M,238.3 M
2341,EcoGreen International Group Limited,Materials,Chemicals,Materials,187.6 M,-,-,-,-,-,114 M,112.4 M,104.5 M,103 M,103 M,99.036 M,82.449 M,82.251 M,84.518 M
1885,China Wood Optimization (Holding) Limited,Materials,Paper & Forest Products,Materials,114.7 M,-,-,-,-,-,-,-,-,-,430.007 K,413.396 K,2.732 M,2.725 M,8.776 M
2183,Sansheng Holdings (Group) Co. Ltd.,Real Estate,Real Estate Management & Development,Real Estate,248.7 M,-,-,-,-,-,378.2 M,372.7 M,398.1 M,392.3 M,549.5 M,528.3 M,121.2 M,120.9 M,163.7 M
678,Genting Hong Kong Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,448.5 M,-,-,-,-,-,-,-,91.13 M,91.13 M,70.298 M,70.298 M,113.1 M,113.1 M,415.9 M
1777,"Fantasia Holdings Group Co., Limited",Real Estate,Real Estate Management & Development,Real Estate,147.1 M,-,-,-,-,-,-,-,848 M,835.7 M,958.8 M,921.7 M,654 M,652.4 M,754.3 M
2118,Tian Shan Development (Holding) Limited,Real Estate,Real Estate Management & Development,Real Estate,252.4 M,-,-,-,-,-,-,-,46.521 M,45.844 M,302 M,290.4 M,102.7 M,102.4 M,261.1 M
30,Ban Loong Holdings Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,215.7 M,-,-,-,29.393 M,29.47 M,38.734 M,38.841 M,39.644 M,39.641 M,29.129 M,28.98 M,45.326 M,45.478 M,36.946 M
1909,Fire Rock Holdings Limited,Communication Services,Entertainment,Media,273.9 M,-,-,-,-,-,-,-,32.01 M,31.971 M,18.056 M,17.359 M,20.282 M,20.276 M,14.445 M
530,Goldin Financial Holdings Limited,Consumer Staples,Beverages,"Food, Beverage & Tobacco",131.8 M,-,-,-,-,-,12.75 M,12.734 M,11.099 M,11.103 M,15.568 M,15.564 M,22.314 M,22.185 M,18.088 M
2608,Sunshine 100 China Holdings Ltd,Real Estate,Real Estate Management & Development,Real Estate,120.2 M,-,-,-,-,-,-,-,262.9 M,259.1 M,165.5 M,159.2 M,254.6 M,254 M,337.1 M
708,China Evergrande New Energy Vehicle Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,4.421 B,-,-,-,-,-,-,-,536.1 M,528.3 M,840.7 M,808.3 M,319.2 M,318.4 M,214.5 M
2296,Huarchi Global Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,270.1 M,-,-,-,-,-,-,-,11.829 M,11.814 M,11.778 M,11.783 M,9.702 M,9.7 M,16.838 M
2175,China General Education Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,200.3 M,-,-,-,13.507 M,13.39 M,-,-,12.408 M,12.21 M,-,-,-,-,-
9636,JF Wealth Holdings Ltd,Consumer Discretionary,Diversified Consumer Services,Consumer Services,980.2 M,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2421,KRP Development Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,102.4 M,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7855,TechStar Acquisition Corporation,Financials,Capital Markets,Diversified Financials,159.2 M,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6922,"Cryofocus Medtech (Shanghai) Co., Ltd.",Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,561.1 M,-,-,-,-,-,1.631 M,-,-,-,-,-,-,-,-
9658,Super Hi International Holding Ltd.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,1.537 B,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7827,Vision Deal HK Acquisition Corp.,Financials,Capital Markets,Diversified Financials,157.8 M,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2297,Rainmed Medical Limited,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,169.6 M,-,-,-,3.873 M,4.093 M,-,-,3.414 M,3.364 M,-,-,-,-,-
1244,3D Medicines Inc.,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",2.251 B,-,-,-,-,-,-,-,-,-,-,-,-,-,-
