Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EBITDA,EBITDA FQ-1,EBITDA FQ-2,EBITDA FQ-3,EBITDA FQ-4,EBITDA FQ-5,EBITDA FQ-6,EBITDA FQ-7,EBITDA FQ-8,EBITDA FQ-9,EBITDA FQ-10,EBITDA FQ-11,EBITDA FQ-12
9913,Chi Kan Holdings Limited,Industrials,Construction & Engineering,Capital Goods,270.1 M,2023,6.641 M,2.083 M,1.265 M,1.279 M,3.839 M,3.849 M,932.349 K,934.927 K,1.889 M,1.889 M,2.337 M,2.332 M,1.793 M
2153,"Tat Hong Equipment Service Co., Ltd.",Industrials,Construction & Engineering,Capital Goods,196.2 M,2023,38.02 M,9.721 M,11.059 M,11.034 M,13.038 M,13.021 M,11.955 M,12.254 M,13.503 M,15.013 M,-,-,-
1942,MOG Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,1.543 B,2023,-951.737 K,-1.699 M,1.245 M,1.257 M,160.107 K,159.902 K,1.043 M,1.074 M,632.896 K,613.511 K,1.84 M,1.94 M,1.989 M
2161,JBM (Healthcare) Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",111.1 M,2023,11.037 M,2.798 M,2.727 M,2.74 M,2.066 M,2.072 M,3.109 M,3.118 M,3.659 M,3.659 M,-,-,-
1082,Bradaverse Education (Int'l) Investments Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,129.2 M,2023,-979.109 K,-,-205.909 K,-142.427 K,-129.929 K,-130.127 K,-348.13 K,-347.701 K,-347.824 K,-347.934 K,-2.917 M,-2.916 M,-1.261 M
1989,Pine Care Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,103.5 M,2023,4.035 M,938.586 K,1.031 M,984.28 K,1.493 M,1.497 M,647.325 K,1.036 M,1.953 M,1.953 M,952.125 K,947.27 K,1.973 M
1082,Bradaverse Education (Int'l) Investments Group Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,129.2 M,2023,-,-,-205.909 K,-142.427 K,-129.929 K,-130.127 K,-348.13 K,-347.701 K,-347.824 K,-347.934 K,-2.917 M,-2.916 M,-1.261 M
6889,"DYNAM JAPAN HOLDINGS Co., Ltd.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,479.5 M,2023,271.1 M,78.215 M,73.954 M,78.212 M,65.327 M,65.45 M,30.949 M,33.189 M,23.003 M,22.472 M,61.934 M,61.281 M,89.299 M
1023,Sitoy Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,107.6 M,2023,31.347 M,7.932 M,7.657 M,7.67 M,4.561 M,4.568 M,595.995 K,595.26 K,-245.276 K,-245.354 K,-8.374 M,-8.372 M,4.513 M
1468,Kingkey Financial International (Holdings) Limited,Financials,Capital Markets,Diversified Financials,1.554 B,2023,-1.913 M,-391.683 K,-565.983 K,-568.648 K,-274.769 K,-275.491 K,958.913 K,961.563 K,-367.611 K,-367.588 K,-2.764 M,-2.75 M,-358.971 K
279,Arta TechFin Corporation Limited,Financials,Capital Markets,Diversified Financials,275 M,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
1982,Nameson Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,153.9 M,2023,79.68 M,28.878 M,10.996 M,11.047 M,19.942 M,19.994 M,10.555 M,10.584 M,21.242 M,21.241 M,4.482 M,4.459 M,24.017 M
1243,Wang On Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,110.4 M,2023,-4.516 M,682.116 K,-2.666 M,-2.679 M,-4.477 M,-4.488 M,-5.25 M,-5.265 M,1.716 M,1.716 M,-373.356 K,-371.452 K,46.567 M
2138,EC Healthcare,Consumer Discretionary,Diversified Consumer Services,Consumer Services,1.024 B,2023,51.746 M,13.384 M,12.52 M,12.579 M,19.67 M,19.722 M,13.134 M,13.17 M,6.462 M,6.462 M,9.395 M,9.347 M,18.121 M
8021,WLS Holdings Limited,Industrials,Construction & Engineering,Capital Goods,128.1 M,2023,2.838 K,-209.371 K,1.011 M,-1.159 M,1.351 M,1.447 M,1.455 M,2.05 M,571.506 K,644.302 K,955.062 K,125.897 K,766.559 K
1499,OKG Technology Holdings Limited,Industrials,Construction & Engineering,Capital Goods,242.9 M,2023,4.912 M,3.22 M,-764.112 K,-767.71 K,-1.774 M,-1.779 M,-4.646 M,-4.659 M,-653.61 K,-653.569 K,-1.32 M,-1.313 M,-975.479 K
2199,Regina Miracle International (Holdings) Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,461.6 M,2023,188.9 M,50.813 M,43.742 M,43.948 M,39.779 M,39.883 M,31.227 M,31.313 M,17.872 M,17.871 M,27.138 M,26.999 M,25.513 M
1929,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,Specialty Retail,Retailing,19.364 B,2023,1.203 B,326.2 M,275.9 M,277.2 M,332 M,332.8 M,354.6 M,355.6 M,241.7 M,241.7 M,170.6 M,169.7 M,183.4 M
2221,New Concepts Holdings Limited,Industrials,Construction & Engineering,Capital Goods,120.7 M,2023,-775.956 K,-1.369 M,982.092 K,986.717 K,-273.291 K,-274.009 K,-2.403 M,-3.279 M,-376.192 K,-376.168 K,-1.986 M,-1.409 M,-500.147 K
384,China Gas Holdings Limited,Utilities,Gas Utilities,Utilities,7.346 B,2023,1.384 B,336.8 M,355.9 M,357.5 M,423.3 M,424.4 M,480 M,481.3 M,470.9 M,470.9 M,473.7 M,471.3 M,442.6 M
973,L'Occitane International S.A.,Consumer Staples,Personal Products,Household & Personal Products,3.595 B,2023,391 M,69.625 M,147.2 M,151.4 M,62.82 M,64.325 M,138 M,143.8 M,38.586 M,36.977 M,99.483 M,101.3 M,41.012 M
8053,Pizu Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,144.8 M,2023,58.283 M,14.671 M,22.736 M,7.721 M,11.983 M,12.702 M,22.265 M,9.712 M,21.931 M,20.086 M,20.594 M,20.117 M,21.815 M
2322,Hong Kong ChaoShang Group Limited,Industrials,Trading Companies & Distributors,Capital Goods,383.2 M,2023,-3.158 M,-1.325 M,-255.576 K,-256.78 K,-1.727 M,-1.732 M,-792.394 K,-794.584 K,-201.225 K,-201.212 K,1.824 M,1.815 M,387.231 K
199,ITC Properties Group Limited,Real Estate,Real Estate Management & Development,Real Estate,122.1 M,2023,-32.141 M,-4.347 M,-11.749 M,-11.805 M,-2.273 M,-2.279 M,-4.974 M,-4.987 M,-10.84 M,-10.839 M,-8.519 M,-8.476 M,-19.1 M
6808,Sun Art Retail Group Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,3.002 B,2023,419.6 M,157.2 M,69.236 M,69.079 M,209.3 M,209 M,-,-,280.3 M,269.3 M,192.2 M,178.3 M,318.9 M
1428,Bright Smart Securities & Commodities Group Limited,Financials,Capital Markets,Diversified Financials,296.2 M,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Chen Hsong Holdings Limited,Industrials,Machinery,Capital Goods,147 M,2023,15.235 M,5.207 M,1.923 M,1.932 M,9.241 M,9.266 M,9.341 M,9.366 M,5.362 M,5.362 M,-234.307 K,-233.112 K,2.377 M
64,Get Nice Holdings Limited,Financials,Capital Markets,Diversified Financials,184.6 M,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
83,Sino Land Company Limited,Real Estate,Real Estate Management & Development,Real Estate,11.009 B,2023,582.6 M,143 M,146.7 M,147 M,321.4 M,321.9 M,699.4 M,698.5 M,112.7 M,112.7 M,74.097 M,74.076 M,87.875 M
52,Fairwood Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,191.4 M,2023,17.294 M,7.144 M,1.508 M,1.515 M,8.529 M,8.552 M,8.468 M,8.491 M,10.261 M,10.261 M,5.229 M,5.203 M,9.711 M
931,China LNG Group Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,269.6 M,2023,-12.117 M,-2.886 M,-3.053 M,-3.067 M,-4.092 M,-4.103 M,-1.499 M,-1.503 M,-419.74 K,-419.714 K,-8.639 M,-8.595 M,-3.663 M
480,HKR International Limited,Real Estate,Real Estate Management & Development,Real Estate,490.1 M,2023,69.748 M,8.838 M,-,-,39.757 M,39.862 M,27.47 M,27.198 M,55.671 M,55.667 M,66.184 M,65.846 M,37.556 M
711,Asia Allied Infrastructure Holdings Limited,Industrials,Construction & Engineering,Capital Goods,118.2 M,2023,-1.702 M,4.674 M,-5.535 M,-5.561 M,5.964 M,5.98 M,-2.448 M,-2.455 M,-4.372 M,-4.372 M,7.169 M,7.132 M,-15.63 K
129,Asia Standard International Group Limited,Real Estate,Real Estate Management & Development,Real Estate,107.6 M,2023,-63.944 M,15.367 M,-45.725 M,-45.941 M,12.466 M,12.499 M,55.036 M,55.188 M,72.539 M,72.534 M,48.315 M,48.068 M,62.973 M
938,Man Sang International Limited,Real Estate,Real Estate Management & Development,Real Estate,137.7 M,2023,-8.735 M,-2.226 M,-2.147 M,-2.157 M,-2.129 M,-2.134 M,-4.122 M,-4.134 M,-2.695 M,-2.695 M,359.941 K,358.106 K,-1.709 M
391,Mei Ah Entertainment Group Limited,Communication Services,Entertainment,Media,200 M,2023,-3.468 M,-100.358 K,-1.637 M,-1.645 M,-146.697 K,-147.083 K,-1.855 M,-1.861 M,4.194 K,4.193 K,-1.295 M,-1.289 M,-825.435 K
985,CST Group Limited,Financials,Capital Markets,Diversified Financials,107.8 M,2023,58.628 M,19.22 M,10.126 M,10.126 M,5.061 M,5.061 M,1.103 M,1.103 M,4.636 M,4.636 M,-4.759 M,-4.759 M,18.069 M
277,Tern Properties Company Limited,Real Estate,Real Estate Management & Development,Real Estate,135.2 M,2023,568.049 K,469.038 K,-185.235 K,-186.108 K,935.293 K,937.75 K,388.608 K,389.682 K,1.045 M,1.045 M,-1.984 M,-1.974 M,1.398 M
163,Emperor International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,313.9 M,2023,24.692 M,5 M,7.363 M,7.398 M,17.753 M,17.8 M,22.399 M,22.461 M,13.74 M,13.739 M,-14.925 M,-14.849 M,43.295 M
8299,Grand T G Gold Holdings Limited,Materials,Metals & Mining,Materials,103 M,2023,9.65 M,2.73 M,3.437 M,666.26 K,3.487 M,1.472 M,1.29 M,2.335 M,-228.217 K,202.902 K,1.675 M,-3.741 M,1.38 M
1271,Grand Ming Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,1.082 B,2023,218.1 M,112.9 M,-3.818 M,-3.836 M,4.814 M,4.827 M,7.939 M,7.961 M,8.868 M,8.868 M,4.768 M,4.744 M,4.24 M
1830,Perfect Medical Health Management Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,646.7 M,2023,50.321 M,17.176 M,10.136 M,10.184 M,21.538 M,21.594 M,10.531 M,10.56 M,12.531 M,12.531 M,11.401 M,11.342 M,21.41 M
1373,International Housewares Retail Company Limited,Consumer Discretionary,Specialty Retail,Retailing,258.6 M,2023,34.008 M,6.976 M,9.758 M,9.82 M,7.731 M,7.74 M,6.786 M,6.799 M,7.882 M,7.885 M,10.198 M,10.179 M,5.161 M
113,Dickson Concepts (International) Limited,Consumer Discretionary,Specialty Retail,Retailing,201.9 M,2023,38.694 M,13.129 M,6.179 M,6.238 M,11.32 M,11.35 M,27.494 M,27.57 M,6.101 M,6.101 M,-23.263 M,-23.145 M,-19.964 M
35,Far East Consortium International Limited,Real Estate,Real Estate Management & Development,Real Estate,665.3 M,2023,155.1 M,41.05 M,36.586 M,36.758 M,40.349 M,40.455 M,32.778 M,32.869 M,49.768 M,49.764 M,10.94 M,10.884 M,85.755 M
335,Upbest Group Limited,Financials,Consumer Finance,Diversified Financials,205 M,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
1125,Lai Fung Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,111.8 M,2023,94.987 M,22.424 M,25.012 M,25.022 M,32.375 M,32.443 M,20.639 M,20.648 M,-1.538 M,-1.538 M,-22.663 M,-22.657 M,11.457 M
179,Johnson Electric Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,1.056 B,2023,305 M,70.554 M,79.56 M,79.56 M,104.2 M,104.2 M,119.1 M,119.1 M,123.6 M,123.6 M,102.4 M,102.4 M,113 M
202,EverChina Int'l Holdings Company Limited,Real Estate,Real Estate Management & Development,Real Estate,161.7 M,2023,793.409 K,3.026 M,-2.634 M,-2.646 M,448.057 K,449.234 K,57.886 K,58.046 K,3.277 M,3.277 M,-5.839 M,-5.809 M,-12.37 M
1060,Alibaba Pictures Group Limited,Communication Services,Entertainment,Media,1.718 B,2023,37.522 M,1.346 M,18.354 M,18.313 M,-14.416 M,-14.397 M,34.988 M,35.12 M,-14.108 M,-13.559 M,-16.062 M,-16.338 M,-21.643 M
989,Hua Yin International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,385.4 M,2023,76.828 M,42.33 M,-1.611 M,-1.602 M,1.296 M,1.294 M,11.411 M,11.454 M,-36.673 M,-35.244 M,-67.324 M,-68.481 M,-24.053 M
105,Associated International Hotels Limited,Real Estate,Real Estate Management & Development,Real Estate,429.7 M,2023,22.175 M,6.057 M,5.043 M,5.067 M,6.438 M,6.454 M,8.808 M,8.832 M,11.353 M,11.353 M,14.68 M,14.606 M,15.395 M
266,Tian Teck Land Limited,Real Estate,Real Estate Management & Development,Real Estate,238.9 M,2023,22.682 M,6.157 M,5.196 M,5.221 M,6.512 M,6.529 M,8.833 M,8.857 M,11.536 M,11.535 M,14.779 M,14.704 M,15.584 M
25,Chevalier International Holdings Limited,Industrials,Industrial Conglomerates,Capital Goods,271.2 M,2023,73.695 M,20.034 M,16.856 M,16.936 M,23.815 M,23.878 M,17.955 M,18.004 M,23.198 M,23.197 M,7.609 M,7.571 M,21.467 M
321,Texwinca Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,246.4 M,2023,82.883 M,14.813 M,26.689 M,26.815 M,14.714 M,14.753 M,19.153 M,19.206 M,14.955 M,14.954 M,11.802 M,11.741 M,21.348 M
2033,Time Watch Investments Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,108.8 M,2023,2.876 M,-683.118 K,2.114 M,2.117 M,2.211 M,2.215 M,9.155 M,9.143 M,11.683 M,11.687 M,4.283 M,4.282 M,10.119 M
213,National Electronics Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,111.3 M,2023,-7.488 M,-2.718 M,-1.029 M,-1.034 M,-624.171 K,-625.811 K,-1.399 M,-1.403 M,4.501 M,4.501 M,-635.532 K,-632.292 K,-707.479 K
345,Vitasoy International Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",2.062 B,2023,51.309 M,25.344 M,298.598 K,300.004 K,17.787 M,17.834 M,-2.767 M,-2.774 M,68.864 M,68.86 M,8.127 M,8.085 M,55.998 M
992,Lenovo Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,13.581 B,2023,4.044 B,1.098 B,1.024 B,915.8 M,1.069 B,1.048 B,969.2 M,815.9 M,935.4 M,797.1 M,662.8 M,216 M,712.6 M
1686,SUNeVision Holdings Ltd.,Information Technology,IT Services,Software & Services,2.363 B,2023,177.6 M,51.292 M,37.035 M,37.1 M,46.679 M,46.75 M,32.558 M,32.518 M,42.697 M,42.71 M,28.722 M,28.714 M,34.576 M
1140,Wealthking Investments Limited,Financials,Capital Markets,Diversified Financials,495.9 M,2023,11.337 M,3.393 M,2.281 M,2.292 M,3.78 M,3.79 M,6.276 M,6.293 M,930.577 K,930.518 K,-8.567 M,-8.524 M,-1.485 M
1709,DL Holdings Group Limited,Financials,Capital Markets,Diversified Financials,495.2 M,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
367,Chuang's Consortium International Limited,Real Estate,Real Estate Management & Development,Real Estate,138.5 M,2023,-16.054 M,-2.714 M,-,-,9.79 M,9.816 M,9.169 M,516.673 K,34.363 M,34.361 M,296.737 K,295.224 K,14.92 M
178,Sa Sa International Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,699.7 M,2023,-22.596 M,-6.632 M,-4.738 M,-4.76 M,-9.121 M,-9.145 M,-7.8 M,-7.822 M,-21.593 M,-21.591 M,-14.638 M,-14.563 M,2.849 M
26,"China Motor Bus Company, Limited",Real Estate,Real Estate Management & Development,Real Estate,441.5 M,2023,14.521 M,3.709 M,3.512 M,3.519 M,3.155 M,3.16 M,3.702 M,3.698 M,3.629 M,3.63 M,4.565 M,4.563 M,5.723 M
331,FSE Lifestyle Services Limited,Industrials,Construction & Engineering,Capital Goods,344 M,2023,70.75 M,20.555 M,14.627 M,14.652 M,18.842 M,18.871 M,-11.277 M,-11.263 M,36.436 M,36.448 M,22.617 M,22.611 M,12.629 M
259,Yeebo (International Holdings) Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,362.6 M,2023,18.409 M,4.792 M,4.423 M,4.444 M,4.213 M,4.224 M,1.608 M,1.613 M,2.251 M,2.251 M,426.241 K,424.068 K,2.883 M
900,AEON Credit Service (Asia) Company Limited,Financials,Consumer Finance,Diversified Financials,270.5 M,2023,-,-,-,-,-,-,-,-,-,-,-,-,-
411,Lam Soon (Hong Kong) Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",294.5 M,2023,22.879 M,5.679 M,5.699 M,5.709 M,14.21 M,14.231 M,7.345 M,7.336 M,21.091 M,21.098 M,10.86 M,10.857 M,16.872 M
160,"Hon Kwok Land Investment Company, Limited",Real Estate,Real Estate Management & Development,Real Estate,194.6 M,2023,52.299 M,16.581 M,9.594 M,9.64 M,17.598 M,17.644 M,13.497 M,13.535 M,16.25 M,16.249 M,1.991 M,1.981 M,13.849 M
29,Dynamic Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,301.9 M,2023,1.507 M,410.909 K,338.605 K,339.194 K,106.778 K,106.94 K,304.984 K,304.609 K,165.56 K,165.612 K,207.663 K,207.606 K,931.101 K
241,Alibaba Health Information Technology Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,10.981 B,2023,-71.02 M,-1.181 M,-38.197 M,-38.111 M,-45.009 M,-44.951 M,-11.792 M,-11.837 M,16.771 M,16.118 M,-3.388 M,-3.446 M,-352.84 K
659,NWS Holdings Limited,Industrials,Industrial Conglomerates,Capital Goods,3.402 B,2023,549 M,81.838 M,221.4 M,221.8 M,51.651 M,51.729 M,-89.821 M,-89.71 M,90.623 M,90.651 M,-21.444 M,-21.438 M,115.7 M
247,Tsim Sha Tsui Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,5.729 B,2023,664.6 M,173.6 M,156.9 M,157.2 M,339.2 M,339.7 M,706.6 M,705.8 M,131.1 M,131.1 M,32.711 M,32.702 M,148.5 M
855,China Water Affairs Group Limited,Utilities,Water Utilities,Utilities,1.358 B,2023,616.2 M,160.6 M,147.9 M,148.6 M,161.3 M,161.7 M,137.3 M,137.7 M,132.1 M,132.1 M,115 M,114.4 M,115.5 M
191,Lai Sun Garment (International) Limited,Real Estate,Real Estate Management & Development,Real Estate,172.2 M,2023,59.391 M,-,-1.128 M,-1.128 M,21.066 M,21.11 M,-13.894 M,-13.9 M,-5.353 M,-5.353 M,-24.535 M,-24.528 M,25.188 M
341,Café de Coral Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,772 M,2023,56.406 M,19.686 M,8.541 M,8.582 M,20.543 M,20.597 M,12.473 M,12.508 M,5.602 M,5.602 M,12.716 M,12.652 M,26.636 M
590,Luk Fook Holdings (International) Limited,Consumer Discretionary,Specialty Retail,Retailing,1.93 B,2023,219.6 M,54.207 M,55.727 M,55.99 M,55.104 M,55.249 M,59.171 M,59.335 M,24.541 M,24.539 M,35.5 M,35.319 M,51.81 M
896,Hanison Construction Holdings Limited,Industrials,Construction & Engineering,Capital Goods,158.4 M,2023,-5.094 M,-822.489 K,-1.728 M,-1.737 M,-1.652 M,-1.656 M,-1.569 M,-1.573 M,-871.093 K,-871.038 K,-1.987 M,-1.977 M,339.513 K
374,Four Seas Mercantile Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",130.2 M,2023,16.509 M,5.041 M,3.223 M,3.238 M,4.835 M,4.847 M,2.664 M,2.672 M,5.029 M,5.029 M,-443.267 K,-441.007 K,4.889 M
53,Guoco Group Limited,Industrials,Industrial Conglomerates,Capital Goods,2.85 B,2023,370.8 M,104.5 M,80.923 M,80.923 M,167.6 M,167.6 M,81.409 M,81.409 M,36.079 M,36.079 M,6.588 M,6.588 M,159.4 M
131,Cheuk Nang (Holdings) Limited,Real Estate,Real Estate Management & Development,Real Estate,174.6 M,2023,-5.84 M,-1.84 M,-1.059 M,-1.022 M,-2.264 M,-2.268 M,-6.262 M,-6.21 M,45.434 M,45.448 M,7.926 M,7.967 M,9.055 M
1221,Sino Hotels (Holdings) Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,327.5 M,2023,608.566 K,-91.627 K,394.339 K,395.026 K,123.272 K,123.459 K,345.901 K,345.475 K,-1.124 M,-1.125 M,-1.755 M,-1.755 M,425.097 K
147,International Business Settlement Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,181.2 M,2023,-11.932 M,-683.263 K,-5.294 M,-5.319 M,-872.285 K,-874.576 K,-5.492 M,-5.507 M,-3.063 M,-3.062 M,-5.996 M,-5.965 M,912.641 K
17,New World Development Company Limited,Real Estate,Real Estate Management & Development,Real Estate,6.861 B,2023,1.58 B,441.9 M,341 M,341.5 M,392.6 M,393.2 M,71.513 M,71.425 M,461.6 M,461.7 M,158.7 M,158.7 M,624 M
18,Oriental Enterprise Holdings Limited,Communication Services,Media,Media,183.3 M,2023,24.691 M,5.736 M,6.626 M,6.657 M,6.779 M,6.797 M,5.203 M,5.217 M,2.717 M,2.717 M,2.498 M,2.486 M,4.841 M
650,Productive Technologies Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,900.4 M,2023,-8.106 M,-567.931 K,-3.504 M,-3.521 M,226.212 K,226.806 K,1.381 M,1.385 M,2.78 M,2.779 M,22.379 K,22.265 K,1.129 M
677,Golden Resources Development International Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,278.9 M,2023,24.088 M,7.806 M,4.249 M,4.269 M,1.259 M,1.262 M,4.043 M,4.054 M,2.743 M,2.743 M,4.366 M,4.344 M,3.656 M
1104,APAC Resources Limited,Industrials,Trading Companies & Distributors,Capital Goods,177.5 M,2023,-3.444 M,-1.744 M,31.732 K,31.787 K,1.188 M,1.189 M,-2.005 M,-2.003 M,1.48 M,1.48 M,-319.204 K,-319.116 K,655.96 K
186,Nimble Holdings Company Limited,Consumer Discretionary,Distributors,Retailing,188.9 M,2023,-7.644 M,-1.72 M,-2.043 M,-2.116 M,-3.854 M,-3.864 M,-,-,-2.29 M,-2.29 M,-,-,-
315,SmarTone Telecommunications Holdings Limited,Communication Services,Wireless Telecommunication Services,Telecommunication Services,694.9 M,2023,234.5 M,58.886 M,57.743 M,57.843 M,58.419 M,58.508 M,51.095 M,51.032 M,56.091 M,56.108 M,47.083 M,47.07 M,54.086 M
1999,Man Wah Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,3.387 B,2023,450.3 M,106.1 M,119.3 M,119.9 M,97.55 M,97.807 M,109.1 M,109.4 M,77.868 M,77.863 M,91.806 M,91.338 M,65.698 M
1668,China South City Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,758 M,2023,24.252 M,24.878 M,-12.77 M,-12.83 M,105.4 M,105.7 M,92.531 M,92.787 M,119.8 M,119.8 M,109.3 M,108.8 M,85.132 M
151,Want Want China Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",7.75 B,2023,750.4 M,175.8 M,235.2 M,234.7 M,242.8 M,242.5 M,251.1 M,252 M,218.6 M,210 M,221.8 M,225.6 M,172.4 M
3998,Bosideng International Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,5.975 B,2023,469.3 M,97.078 M,160.7 M,160.3 M,81.627 M,81.522 M,143.8 M,144.4 M,64.698 M,62.176 M,93.791 M,95.402 M,49.393 M
159,Brockman Mining Limited,Materials,Metals & Mining,Materials,189.2 M,2023,-6.672 M,-2.194 M,-1.123 M,-1.125 M,-1.46 M,-1.462 M,-751.385 K,-750.459 K,-727.832 K,-728.062 K,-549.963 K,-549.811 K,-825.998 K
303,Vtech Holdings Limited,Information Technology,Communications Equipment,Technology Hardware & Equipment,1.503 B,2023,251.2 M,57.95 M,67.65 M,67.65 M,55.6 M,55.6 M,70.8 M,70.8 M,78.95 M,78.95 M,53.4 M,53.4 M,72.85 M
149,China Agri-Products Exchange Limited,Real Estate,Real Estate Management & Development,Real Estate,105.2 M,2023,29.005 M,5.32 M,8.848 M,8.89 M,8.413 M,8.435 M,6.615 M,6.634 M,3.995 M,3.995 M,-,-,-
16,Sun Hung Kai Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,39.573 B,2023,3.744 B,801.2 M,1.061 B,1.063 B,1.192 B,1.194 B,1.06 B,1.058 B,1.462 B,1.463 B,1.264 B,1.264 B,1.135 B
306,Kwoon Chung Bus Holdings Limited,Industrials,Road & Rail,Transportation,139.1 M,2023,6.702 M,422.236 K,2.935 M,2.949 M,1.101 M,1.104 M,-1.681 M,-1.686 M,-3.071 M,-3.071 M,10.788 M,10.733 M,10.819 M
2368,Eagle Nice (International) Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,295.1 M,2023,70.567 M,24.095 M,11.22 M,11.273 M,17.434 M,17.48 M,8.875 M,8.899 M,22.092 M,22.091 M,5.917 M,5.886 M,16.487 M
1999,Man Wah Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,3.387 B,2023,450.3 M,106.1 M,119.3 M,119.9 M,97.55 M,97.807 M,109.1 M,109.4 M,77.868 M,77.863 M,91.806 M,91.338 M,65.698 M
3998,Bosideng International Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,5.975 B,2023,469.3 M,97.078 M,160.7 M,160.3 M,81.627 M,81.522 M,143.8 M,144.4 M,64.698 M,62.176 M,93.791 M,95.402 M,49.393 M
151,Want Want China Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",7.75 B,2023,750.4 M,175.8 M,235.2 M,234.7 M,242.8 M,242.5 M,251.1 M,252 M,218.6 M,210 M,221.8 M,225.6 M,172.4 M
374,Four Seas Mercantile Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",130.2 M,2023,16.509 M,5.041 M,3.223 M,3.238 M,4.835 M,4.847 M,2.664 M,2.672 M,5.029 M,5.029 M,-443.267 K,-441.007 K,4.889 M
131,Cheuk Nang (Holdings) Limited,Real Estate,Real Estate Management & Development,Real Estate,174.6 M,2023,-5.84 M,-1.84 M,-1.059 M,-1.022 M,-2.264 M,-2.268 M,-6.262 M,-6.21 M,45.434 M,45.448 M,7.926 M,7.967 M,9.055 M
590,Luk Fook Holdings (International) Limited,Consumer Discretionary,Specialty Retail,Retailing,1.93 B,2023,219.6 M,54.207 M,55.727 M,55.99 M,55.104 M,55.249 M,59.171 M,59.335 M,24.541 M,24.539 M,35.5 M,35.319 M,51.81 M
